78108709643,565877,Ballast,95.783,,95.783,,Van Meter,ADV 71A5570001D MH BAL 175W M57 QUAD KIT,ea
78108711178,5068977,Ballast,118.139,,118.139,,Van Meter,ADV 71A5750001D MH BAL 250W M58 5-TAP KIT,ea
78108711037,2701622,Ballast,139.383,,139.383,,Van Meter,ADV 71A6051001D MH BAL 400W M59 KIT 5-TAP,ea
78108711183,5068979,Ballast,209.304,,209.304,,Van Meter,ADV 71A6552001 MH BAL 1000W M47 5-TAP KIT,ea
78108711181,1523830,Ballast,187.274,,187.274,,Van Meter,ADV 71A8453001D HPS BAL 400W S51 5-TAP KIT,ea
78108710289,5494689,Ballast,30.453,,30.453,,Van Meter,ADV ICF2S26H1LDK ELE BAL (2) 26W CFL (4-PIN) 120-277V KIT,ea
78108711779,583020,Ballast,32.238,,32.238,,Van Meter,ADV ICF2S42M2LDK ELE BAL (2) 42W CFL (4-PIN) 120/277V KIT,ea
78108706912,6940483,Ballast,14.371,,14.371,,Van Meter,ADV ICN2P32N35I ELE BALLAST (2) F32T8 120-277V,ea
78108713555,7348715,Ballast,34.237,,34.237,,Van Meter,ADV ICN2P60N35I ELE BALLAST (2)F96T12 120-277V,ea
0,7020144,Ballast,48.363,,48.363,,Van Meter,ADV ICN2S110SC35I ELE BALLAST (2) F96T12/HO 120-277V,ea
78108707487,6941541,Ballast,19.126,,19.126,,Van Meter,ADV ICN2S40N35I ELE BALLAST F40T12 120-277V,ea
78108713178,7285050,Ballast,43.56,,43.56,,Van Meter,ADV ICN2S54T35I ELEC BALLAST (2) F54T5/HO 120-277V,ea
78108709149,7124317,Ballast,17.597,,17.597,,Van Meter,ADV ICN3P32N35I ELE BALLAST (3) F32T8 120-277V,ea
78108709151,6986759,Ballast,19.306,,19.306,,Van Meter,ADV ICN4P32N35I ELE BALLAST (4) F32T8 120-277V,ea
78108704786,7022639,Ballast,72.605,,72.605,,Van Meter,ADV ICN4S5490C2LSG35I ELE BALLAST (4) F54T5HO 120-277V; INDIVIDUALLY WRAPPED,ea
78108713562,7348712,Ballast,33.908,,33.908,,Van Meter,ADV IOP2P59N35I ELE BALLAST (2)F96T8 120-277V,ea
3288607300,6824588,Conduit - Strut,1.139,,1.139,,Van Meter,ARMORLITE HCF MCAP 12/3 SOLID BLK/WHT/RED/GRD 250FT 55528001,ft
3288607298,6824585,Conduit - Strut,1.27,,1.27,,Van Meter,ARMORLITE HCF MCAP 12/2 SOLID BLK/WHT/GRD 250FT 55527901,ft
3288634716,1560272,Conduit - Strut,0.762,,0.762,,Van Meter,ARMORLITE MC 12/2 SOLID BLK/WHT/GRN 1000FT 68580002,ft
32886347146,6817100,Conduit - Strut,0.742,,0.742,,Van Meter,ARMORLITE MC 12/2 SOLID BLK/WHT/GRN 250FT 68580001,ft
3288634652,1560277,Conduit - Strut,1.311,,1.311,,Van Meter,ARMORLITE MC 12/3 SOLID BLK/WHT/RED/GRN 250FT 68583401,ft
0,7578392,Conduit - Strut,0.82,,0.82,,Van Meter,FLEX MC-AP HCF 14-2 SOLID ARMORLITE ALUM 250' #56038901,ft
0,7578393,Conduit - Strut,1.187,,1.187,,Van Meter,FLEX MC-AP HCF 14-3 SOLID ARMORLITE ALUM 250' #56039201,ft
8533924414,32600,Boxes - Fittings,0.622,,0.622,,Van Meter,ALLIED 1096-N 1G 3-IN-D SW BOX,ea
8533925001,32601,Boxes - Fittings,0.701,,0.701,,Van Meter,ALLIED 1098-N 1G 3-1/4D SW BOX,ea
8533925030,4182652,Boxes - Fittings,2.01,,2.01,,Van Meter,ALLIED 1098-Z2 1G 3-1/4D SW BOX,ea
8533926000,32616,Boxes - Fittings,0.787,,0.787,,Van Meter,ALLIED 1099-N 1G SW BOX W/NAIL,ea
8533912127,192083,Boxes - Fittings,2.56,,2.56,,Van Meter,ALLIED 2300-NK 2G 3-IN-D SW BOX,ea
8533913075,4182616,Boxes - Fittings,2.86,,2.86,,Van Meter,ALLIED 2302-NK 2G SW BOX W/NAILS,ea
8533913083,7209102,Boxes - Fittings,4.552,,4.552,,Van Meter,ALLIED 2302-Z4K FBRGLS 2G SW BOX 37,ea
8533914175,32603,Boxes - Fittings,2.568,,2.568,,Van Meter,ALLIED 3300-N 3G 3-IN-D SW BX,ea
8533915200,4316340,Boxes - Fittings,2.744,,2.744,,Van Meter,ALLIED 3303-N 3G SW BOX W/NAILS,ea
